short_name	item	original	question_type	options	options_short	required	contingent	any_free_text	other_free_text	original_answer	notes
consent	1	I certify that the nature and purpose, the potential benefits and possible risks associated with participation in this research study have been explained to the above individual and that any questions about this information have been answered. This electronic consent stands in place of my signature.	multiple choice	I am over the age of 18 and I consent to participate		True	False	False	False		This question was required for all participants
first_media	2	1. What was your first exposure to Newsies?	multiple choice	The 1992 movie @ The 1992 movie soundtrack @ The musical (Broadway or Tour) @ The original Broadway cast soundtrack @ The Newsies Live movie @ Fandom @ Historical Strike @ Promotional Videos		False	False	True	True		"First exposure based on the promotional video series (AKB or Playbill) were put in a ""promotional videos"" category @ The 1992 sound track was added, based on people listing to Broadway Kids (released pre 2011), citing the soundtrack explicitly, or doing a medley pre 2011 @ Anything idetifying fandom first was classified as ""fandom"" @ We added a ""historical strike"" group @ Local, regional, high school, or bootlegs were all grouped into ""muscical"" as the first exposure)"
first_period	3	2. When (approximately) did you first become interested in or see Newsies?	multiple choice	1992 - 1995 @ 1996 - 1999 @ 2000 - 2003 @ 2004 - 2007 @ 2008 - 2010 @ 2011 - 2014 @ 2015 - 2016 @ 2017 - 2019 @ 2020 -	1992-1995 @ 1996-1999 @ 2000-2003 @ 2004-2007 @ 2008-2010 @ 2011-2014 @ 2015-2016 @ 2017-2019 @ 2020-	False	False	False	False		
all_media_seen_[newsies_1992]	4.01	3. How many of the following have you seen? (Select all that apply)	checklist					False	False	Newsies 1992	
all_media_seen_[newsies_live]	4.02	3. How many of the following have you seen? (Select all that apply)	checklist					False	False	Newsies Live	
all_media_seen_[theater]	4.03	3. How many of the following have you seen? (Select all that apply)	checklist					False	False	Newsies Musical (Papermill, Broadway, Tour, or Regional Theater)	
all_media_seen_[blood_drips]	4.04	3. How many of the following have you seen? (Select all that apply)	checklist					False	False	Blood Drips on Newsies Square	
performance_seen_[no_unaware]	5.01	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	No, I didn’t know about it soon enough	
performance_seen_[no_uninterested]	5.02	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	No, I wasn’t interested at the time	
performance_seen_[no_impractical]	5.03	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	No, but I would love to have the opportunity	
performance_seen_[would_love_to_now]	5.04	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	No, it was not practical (too far away or too expensive)	
performance_seen_[yes_previews]	5.05	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	Yes, in previews	
performance_seen_[yes_broadway]	5.06	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	Yes, on Broadway	
performance_seen_[yes_tour]	5.07	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	Yes, on tour	
performance_seen_[yes_local_theater]	5.08	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	Yes, local theater	
performance_seen_[yes_high_school]	5.09	4. Have you seen a live performance of Newsies (the musical)? (Select all that apply)	checklist			0.0		False	False	Yes, local high school	
movie1992_seen_[yes_1992_theater]	6.01	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	Yes, I saw it in 1992	
movie1992_seen_[yes_el_capitan]	6.02	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	Yes, I saw the 2015 El Capitan Screening	
movie1992_seen_[yes_school]	6.03	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	Yes, I saw it as part of a high school or university course	
movie1992_seen_[yes_other]	6.04	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	Yes, I saw another screening	
movie1992_seen_[no_unaware]	6.05	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	No, I didn't know there were screenings	
movie1992_seen_[no_uninterested]	6.06	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	No, it was not of interest to me	
movie1992_seen_[no_impractical]	6.07	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	No, it was not practical (too far away or too expensive)	
movie1992_seen_[would_love_to_now]	6.08	5. Have you seen a screening of Newsies (1992)? (Select all that apply)	checklist			0.0		False	False	No, I didn’t know there were screenings	
newsies_live_seen_[yes_movie_theater]	7.01	6. Have you seen a screening of Newsies Live (i.e. not Netflix or Disney Plus)? (Select all that apply)	checklist			0.0		False	False	Yes, I saw it in a movie theater	
newsies_live_seen_[yes_school]	7.02	6. Have you seen a screening of Newsies Live (i.e. not Netflix or Disney Plus)? (Select all that apply)	checklist			0.0		False	False	Yes, I saw it as part of a high school or university course	
newsies_live_seen_[yes_other]	7.03	6. Have you seen a screening of Newsies Live (i.e. not Netflix or Disney Plus)? (Select all that apply)	checklist			0.0		False	False	Yes, I saw another screening	
newsies_live_seen_[no_unaware]	7.04	6. Have you seen a screening of Newsies Live (i.e. not Netflix or Disney Plus)? (Select all that apply)	checklist			0.0		False	False	No, I didn’t know there were screenings	
newsies_live_seen_[no_uninterested]	7.05	6. Have you seen a screening of Newsies Live (i.e. not Netflix or Disney Plus)? (Select all that apply)	checklist			0.0		False	False	No, it was not of interest to me	
newsies_live_seen_[no_impractical]	7.06	6. Have you seen a screening of Newsies Live (i.e. not Netflix or Disney Plus)? (Select all that apply)	checklist			0.0		False	False	No, it was not practical (too far away or too expensive)	
newsies_live_seen_[would_love_to_now]	7.07	6. Have you seen a screening of Newsies Live (i.e. not Netflix or Disney Plus)? (Select all that apply)	checklist			0.0		False	False	I was not interested at the time but would be now	
engage_oppertunity_[broadway_revival]	8.01	7. If offered the opportunity (i.e., if money, distance, and/or public health were not a concern), which would you like to attend? Select all that apply.	checklist			0.0		False	False	Attend a Broadway revival of Newsies	
